HDR,ROLLING SYSTEM DEMAND
VD,20220215220000,31989
VD,20220215220500,31558
VD,20220215221000,31353
VD,20220215221500,31024
VD,20220215222000,30500
VD,20220215222500,30101
VD,20220215223000,29945
VD,20220215223500,29754
VD,20220215224000,29258
VD,20220215224500,28805
VD,20220215225000,28461
VD,20220215225500,28214
VD,20220215230000,27889
VD,20220215230500,28081
VD,20220215231000,27976
VD,20220215231500,27518
VD,20220215232000,27085
VD,20220215232500,26603
VD,20220215233000,26208
VD,20220215233500,26119
VD,20220215234000,26007
VD,20220215234500,26062
VD,20220215235000,25915
VD,20220215235500,25774
VD,20220216000000,25745
VD,20220216000500,25874
VD,20220216001000,25655
VD,20220216001500,25376
VD,20220216002000,25338
VD,20220216002500,25378
VD,20220216003000,25443
VD,20220216003500,25606
VD,20220216004000,25623
VD,20220216004500,25702
VD,20220216005000,25814
VD,20220216005500,25895
VD,20220216010000,25812
VD,20220216010500,25338
VD,20220216011000,25156
VD,20220216011500,25141
VD,20220216012000,25160
VD,20220216012500,25151
VD,20220216013000,25125
VD,20220216013500,25038
VD,20220216014000,24970
VD,20220216014500,24943
VD,20220216015000,24946
VD,20220216015500,24842
VD,20220216020000,24647
VD,20220216020500,24200
VD,20220216021000,24265
VD,20220216021500,24245
VD,20220216022000,24261
VD,20220216022500,24259
VD,20220216023000,24204
VD,20220216023500,24254
VD,20220216024000,24028
VD,20220216024500,23999
VD,20220216025000,24068
VD,20220216025500,23807
VD,20220216030000,23378
VD,20220216030500,23580
VD,20220216031000,24017
VD,20220216031500,24475
VD,20220216032000,24538
VD,20220216032500,24406
VD,20220216033000,24240
VD,20220216033500,24245
VD,20220216034000,24182
VD,20220216034500,24149
VD,20220216035000,24135
VD,20220216035500,24110
VD,20220216040000,24173
VD,20220216040500,24345
VD,20220216041000,24508
VD,20220216041500,24755
VD,20220216042000,24744
VD,20220216042500,24672
VD,20220216043000,24564
VD,20220216043500,24555
VD,20220216044000,24530
VD,20220216044500,24508
VD,20220216045000,24417
VD,20220216045500,23943
VD,20220216050000,23961
VD,20220216050500,24463
VD,20220216051000,24425
VD,20220216051500,24423
VD,20220216052000,24369
VD,20220216052500,24327
VD,20220216053000,24396
VD,20220216053500,24457
VD,20220216054000,24598
VD,20220216054500,24770
